starttime	seconds	ctime	dtime	ttime	wait
Wed Jul 24 21:52:37 2019	1563997957	179	179	358	178
Wed Jul 24 21:52:39 2019	1563997959	180	179	359	178
Wed Jul 24 21:52:37 2019	1563997957	178	181	359	181
Wed Jul 24 21:52:38 2019	1563997958	179	181	360	181
Wed Jul 24 21:52:48 2019	1563997968	181	179	360	179
Wed Jul 24 21:52:39 2019	1563997959	180	181	361	180
Wed Jul 24 21:52:43 2019	1563997963	180	181	361	181
Wed Jul 24 21:52:39 2019	1563997959	180	181	362	181
Wed Jul 24 21:52:46 2019	1563997966	179	183	362	183
Wed Jul 24 21:52:50 2019	1563997970	181	181	362	181
Wed Jul 24 21:52:49 2019	1563997969	180	182	363	182
Wed Jul 24 21:52:38 2019	1563997958	182	181	363	181
Wed Jul 24 21:52:36 2019	1563997956	182	181	363	180
Wed Jul 24 21:52:49 2019	1563997969	182	181	363	181
Wed Jul 24 21:52:44 2019	1563997964	182	181	363	181
Wed Jul 24 21:52:40 2019	1563997960	181	183	364	182
Wed Jul 24 21:52:33 2019	1563997953	183	181	364	181
Wed Jul 24 21:52:33 2019	1563997953	181	183	364	182
Wed Jul 24 21:52:42 2019	1563997962	182	182	364	182
Wed Jul 24 21:52:48 2019	1563997968	181	183	364	182
Wed Jul 24 21:52:42 2019	1563997962	183	181	364	180
Wed Jul 24 21:52:37 2019	1563997957	181	183	364	180
Wed Jul 24 21:52:34 2019	1563997954	181	184	364	182
Wed Jul 24 21:52:47 2019	1563997967	183	182	364	181
Wed Jul 24 21:52:32 2019	1563997952	182	184	366	183
Wed Jul 24 21:52:45 2019	1563997965	181	185	366	185
Wed Jul 24 21:52:34 2019	1563997954	183	183	366	182
Wed Jul 24 21:52:35 2019	1563997955	181	185	366	184
Wed Jul 24 21:52:46 2019	1563997966	183	185	368	185
Wed Jul 24 21:52:41 2019	1563997961	184	185	368	184
Wed Jul 24 21:52:44 2019	1563997964	185	183	368	183
Wed Jul 24 21:52:48 2019	1563997968	188	181	368	180
Wed Jul 24 21:52:43 2019	1563997963	180	189	369	189
Wed Jul 24 21:52:36 2019	1563997956	188	183	371	182
Wed Jul 24 21:52:32 2019	1563997952	189	182	371	182
Wed Jul 24 21:52:40 2019	1563997960	182	190	372	190
Wed Jul 24 21:52:45 2019	1563997965	184	192	376	191
Wed Jul 24 21:52:35 2019	1563997955	182	194	376	194
Wed Jul 24 21:52:47 2019	1563997967	191	186	377	186
Wed Jul 24 21:52:42 2019	1563997962	204	180	384	180
Wed Jul 24 21:52:45 2019	1563997965	195	192	387	191
Wed Jul 24 21:52:35 2019	1563997955	203	184	387	184
Wed Jul 24 21:52:41 2019	1563997961	199	192	390	188
Wed Jul 24 21:52:41 2019	1563997961	204	189	393	189
Wed Jul 24 21:52:32 2019	1563997952	211	184	394	184
Wed Jul 24 21:52:44 2019	1563997964	182	214	395	214
Wed Jul 24 21:52:49 2019	1563997969	210	189	399	189
Wed Jul 24 21:52:34 2019	1563997954	205	195	400	194
Wed Jul 24 21:52:38 2019	1563997958	211	191	403	191
Wed Jul 24 21:52:47 2019	1563997967	200	204	403	204
